"No.","Pos. [°2θ]","Iobs [cps]"
"460","22.9207","108.2078"
"461","22.9597","106.2284"
"462","22.9987","103.8593"
"463","23.0377","102.8906"
"464","23.0767","103.4379"
"465","23.1157","100.8372"
"466","23.1547","99.8974"
"467","23.1937","100.6743"
"468","23.2327","100.4691"
"469","23.2717","100.0624"
"470","23.3107","101.0472"
"471","23.3497","102.5017"
"472","23.3887","101.3591"
"473","23.4277","102.0687"
"474","23.4667","103.0271"
"475","23.5057","102.7981"
"476","23.5447","104.8578"
"477","23.5837","102.6519"
"478","23.6227","100.0175"
"479","23.6617","100.6311"
"480","23.7007","101.8585"
"481","23.7397","102.3272"
"482","23.7787","100.4574"
"483","23.8177","100.5374"
"484","23.8567","102.2270"
"485","23.8957","102.8053"
"486","23.9347","104.2983"
"487","23.9737","101.8861"
"488","24.0127","102.5386"
"489","24.0517","102.8465"
"490","24.0907","103.0609"
"491","24.1297","101.6027"
"492","24.1687","106.8279"
"493","24.2077","103.1113"
"494","24.2467","104.5988"
"495","24.2857","108.0926"
"496","24.3247","115.7565"
"497","24.3637","125.6183"
"498","24.4027","131.6856"
"499","24.4417","137.6525"
"500","24.4807","139.9532"
"501","24.5197","131.2955"
"502","24.5587","116.6508"
"503","24.5977","111.0373"
"504","24.6367","109.3331"
"505","24.6757","105.5121"
"506","24.7147","105.5089"
"507","24.7537","104.5538"
"508","24.7927","103.5883"
"509","24.8317","105.7285"
"510","24.8707","104.5000"
"511","24.9097","104.5079"
"512","24.9487","105.1688"
"513","24.9877","103.7107"
"514","25.0267","104.7875"
"515","25.0657","104.3096"
"516","25.1047","103.4491"
"517","25.1437","102.8214"
"518","25.1827","103.3992"
"519","25.2217","106.9590"
"520","25.2607","106.7628"
"521","25.2997","107.3268"
"522","25.3387","109.1652"
"523","25.3777","108.5259"
"524","25.4167","110.5303"
"525","25.4557","113.3915"
"526","25.4947","114.0401"
"527","25.5337","111.2544"
"528","25.5727","108.7402"
"529","25.6117","107.3111"
"530","25.6507","109.1275"
"531","25.6897","110.9935"
"532","25.7287","114.8611"
"533","25.7677","118.9612"
"534","25.8067","123.0358"
"535","25.8457","132.6729"
"536","25.8847","147.5091"
"537","25.9237","165.4961"
"538","25.9627","173.3650"
"539","26.0017","166.7115"
"540","26.0407","149.9687"
"541","26.0797","130.9772"
"542","26.1187","117.9558"
"543","26.1577","110.8341"
"544","26.1967","107.1117"
"545","26.2357","107.2645"
"546","26.2747","106.7989"
"547","26.3137","104.2285"
"548","26.3527","104.9345"
"549","26.3917","105.8434"
"550","26.4307","104.4167"
"551","26.4697","104.6473"
"552","26.5087","104.3245"
"553","26.5477","101.3476"
"554","26.5867","101.4900"
"555","26.6257","102.6624"
"556","26.6647","102.9647"
"557","26.7037","103.5302"
"558","26.7427","102.7201"
"559","26.7817","100.9356"
"560","26.8207","100.5922"
"561","26.8597","102.5315"
"562","26.8987","103.2065"
"563","26.9377","101.4162"
"564","26.9767","99.7277"
"565","27.0157","101.2038"
"566","27.0547","101.9469"
"567","27.0937","101.6557"
"568","27.1327","100.9373"
"569","27.1717","101.0880"
"570","27.2107","99.6901"
"571","27.2497","100.9663"
"572","27.2887","101.3409"
"573","27.3277","99.5829"
"574","27.3667","101.6852"
"575","27.4057","101.0706"
"576","27.4447","100.0609"
"577","27.4837","101.4592"
"578","27.5227","99.3476"
"579","27.5617","98.6234"
"580","27.6007","99.6384"
"581","27.6397","100.7649"
"582","27.6787","99.1241"
"583","27.7177","100.1883"
"584","27.7567","99.7379"
"585","27.7957","97.9038"
"586","27.8347","98.5541"
"587","27.8737","98.5048"
"588","27.9127","101.5103"
"589","27.9517","99.5901"
"590","27.9907","96.0163"
"591","28.0297","100.3860"
"592","28.0687","99.4713"
"593","28.1077","100.3853"
"594","28.1467","99.5445"
"595","28.1857","100.8732"
