angle,5L-0,5L-1,5L-2,5L-3,5L-4,5L-5
15.5497,103.3943,107.9565,99.4899,97.6373,98.122,102.2969
15.5887,102.4429,107.5663,100.5756,97.1189,98.2841,102.117
15.6277,100.4813,107.3896,102.013,97.462,98.1694,103.3354
15.6667,104.3433,108.4227,101.9163,97.9551,98.5415,103.7076
15.7057,104.4098,107.0625,101.0173,98.535,97.0718,103.3406
15.7447,103.7212,107.7869,100.3252,95.1249,97.5506,103.8368
15.7837,103.1302,106.2274,98.9756,94.6611,98.5085,102.9055
15.8227,102.6582,106.947,98.6356,96.3435,96.224,101.4755
15.8617,102.9101,107.1376,100.8036,96.387,98.4795,101.0008
15.9007,99.9588,105.9727,99.9114,95.6273,97.5205,103.4692
15.9397,100.0047,106.6112,100.2311,95.0314,98.3859,102.4997
15.9787,101.2666,106.4447,101.0902,94.6685,97.438,103.5082
16.0177,99.9354,107.2727,100.418,97.5812,99.0416,103.3037
16.0567,101.541,106.3943,100.2371,95.5711,95.9788,102.2144
16.0957,101.8801,109.2111,98.1301,97.181,94.1957,101.4699
16.1347,102.8591,107.2943,98.9555,97.0837,96.661,105.6573
16.1737,101.856,106.1217,97.7051,95.888,97.4571,104.2486
16.2127,102.5213,104.2681,99.4813,96.2831,97.8648,102.493
16.2517,101.1645,102.2711,100.2168,98.0696,98.8607,102.0292
16.2907,99.6797,104.7295,101.6848,96.9589,97.9481,101.4621
16.3297,102.2138,109.2114,98.4196,98.22,96.4204,101.0095
16.3687,100.2086,107.1043,99.6833,97.9519,96.8277,102.9981
16.4077,102.7235,102.3623,99.9562,100.4861,98.9496,105.2695
16.4467,100.9574,107.9652,100.586,97.063,99.3708,102.5415
16.4857,99.9918,105.6596,100.6248,95.6547,98.3971,104.9345
16.5247,99.1867,108.3322,99.282,95.8007,98.3014,102.165
16.5637,100.4759,106.6003,97.9551,94.6269,96.2618,100.9588
16.6027,102.6048,107.7882,98.1244,96.2739,94.6887,99.5812
16.6417,99.629,103.7876,95.88,95.1442,92.3356,103.9746
16.6807,98.9978,106.4436,94.5359,95.2819,93.3353,100.3623
16.7197,99.1395,102.8312,96.4512,93.0066,94.1738,101.5313
16.7587,100.0409,101.9674,96.8699,95.9716,96.4689,100.898
16.7977,100.7478,105.5134,97.8549,93.4628,92.387,99.0404
16.8367,98.0361,106.8076,98.5534,96.0718,95.8793,100.5401
16.8757,96.4674,104.2037,95.2108,91.9049,96.4327,98.3048
16.9147,97.2497,106.0997,97.135,96.078,95.5526,101.5808
16.9537,100.2911,104.5523,98.5083,92.773,100.068,99.9705
16.9927,98.3661,102.4338,97.8059,95.633,97.4084,99.2337
17.0317,99.0117,105.9772,96.9077,95.9343,94.7058,98.4961
17.0707,98.8621,104.1587,97.6511,95.6141,96.3363,101.5162
17.1097,101.1685,104.2834,99.0494,94.1528,93.3944,102.0202
17.1487,99.1018,105.14,95.0056,96.3677,96.8602,100.7539
17.1877,101.1602,106.4942,97.824,96.0614,97.7721,99.9762
17.2267,99.2851,104.8108,98.7946,93.779,95.0483,98.6077
17.2657,100.4482,103.5866,98.8141,94.8739,94.9396,100.8765
17.3047,96.1692,103.0555,95.5227,91.9123,93.9704,101.4471
17.3437,96.7843,104.3078,96.8094,92.0896,97.6302,100.9992
17.3827,97.9209,106.8005,97.8118,92.5072,97.4634,100.1963
17.4217,98.5715,102.7201,96.4281,95.7163,95.0903,100.2479
17.4607,97.3799,103.2149,97.7446,94.5642,95.5093,99.6392
17.4997,97.9649,103.0818,96.143,93.9304,93.4831,98.8791
17.5387,99.1575,100.8,95.753,93.8687,94.3031,97.7301
17.5777,95.7799,102.5057,96.0408,93.2339,94.7953,97.4329
17.6167,98.7336,103.7821,93.5854,91.1005,94.8604,99.017
17.6557,100.1109,102.3606,95.4928,92.138,93.1703,97.7676
17.6947,98.3841,103.7692,96.7716,93.5105,94.7175,98.2138
17.7337,96.1057,101.9075,98.7022,92.817,91.9179,97.5221
17.7727,96.2754,104.6677,97.9574,91.3287,91.7899,98.7817
17.8117,97.0142,103.51,96.0563,92.1341,94.3426,96.8092
17.8507,95.9675,101.6601,97.5487,91.045,94.5794,96.3001
